PALABRA;DIFICULTAD;TIPO;OBJETIVO
aceite;1;decreciente;0
ahumar;2;decreciente;0
aire;1;decreciente;0
aislar;0;decreciente;0
amainar;1;decreciente;0
androide;1;decreciente;0
auriculares;1;decreciente;0
audiencia;1;decreciente;0
aumentar;1;decreciente;0
auto;1;decreciente;0
auxiliar;1;decreciente;0
bailar;0;decreciente;0
balaustrada;1;decreciente;0
boina;1;decreciente;0
caimán;2;decreciente;0
caucásico;1;decreciente;0
causar;0;decreciente;0
cauto;1;decreciente;0
claustro;1;decreciente;0
coima;1;decreciente;0
deidades;1;decreciente;0
deleitar;1;decreciente;0
encausado;1;decreciente;0
eunuco;2;decreciente;0
europea;1;decreciente;0
fauna;0;decreciente;0
feudo;2;decreciente;0
flauta;1;decreciente;0
idoneidad;2;decreciente;0
infausto;1;decreciente;0
laurel;2;decreciente;0
oiré;1;decreciente;0
paranoide;1;decreciente;0
peinar;1;decreciente;0
precaución;1;decreciente;0
reinado;1;decreciente;0
reunión;1;decreciente;0
sauna;2;decreciente;0
trauma;2;decreciente;0
vaina;2;decreciente;0
abuelo;0;creciente;0
abierta;1;creciente;0
acariciar;1;creciente;0
actual;2;creciente;0
acuarela;1;creciente;0
ardiente;1;creciente;0
atuendo;2;creciente;0
buhardilla;1;creciente;0
complementario;1;creciente;0
confianza;1;creciente;0
desaliento;1;creciente;0
descuento;1;creciente;0
diario;2;creciente;0
diccionario;1;creciente;0
disminuir;2;creciente;0
doliente;1;creciente;0
domicilio;1;creciente;0
entusiasmo;1;creciente;0
especial;2;creciente;0
fuerte;0;creciente;0
gracioso;1;creciente;0
hambriento;0;creciente;0
hospitalario;1;creciente;0
inquietar;1;creciente;0
italiano;1;creciente;0
limpieza;0;creciente;0
lluvia;2;creciente;0
negocio;1;creciente;0
novia;1;creciente;0
piel;2;creciente;0
pieza;2;creciente;0
rutinario;1;creciente;0
siempre;1;creciente;0
sociedad;0;creciente;0
sugerencia;1;creciente;0
tiempo;0;creciente;0
universitario;1;creciente;0
usual;2;creciente;0
viento;1;creciente;0
vivienda;0;creciente;0
afluir;2;homogeneo;0
atribuir;2;homogeneo;0
buitre;0;homogeneo;0
ciudad;1;homogeneo;0
ciudadano;1;homogeneo;0
contribuir;2;homogeneo;0
cuidar;0;homogeneo;0
cuidador;1;homogeneo;0
destituido;2;homogeneo;0
destruir;1;homogeneo;0
diurno;2;homogeneo;0
fluir;1;homogeneo;0
fortuito;1;homogeneo;0
huir;2;homogeneo;0
incluir;2;homogeneo;0
muy;1;homogeneo;0
pingüino;1;homogeneo;0
ruina;1;homogeneo;0
ruindad;1;homogeneo;0
viuda;2;homogeneo;0
