PALABRA;DIFICULTAD;OBJETIVO
báter;0;2
verosímil;0;2
ángel;0;2
frígil;0;2
fórceps;0;2
árbol;0;2
linterna;0;2
bandido;0;2
bebida;0;2
kilogramo;0;2
juguete;0;2
camino;0;2
príncer;0;2
dócil;0;2
cárcel;0;2
cadáver;0;2
azúcar;0;2
césped;0;2
dócil;0;2
fémur;0;2
cónsul;0;2
madre;0;2
quimera;0;2
cuaderno;0;2
oreja;0;2
cuerpo;0;2
elegido;0;2
teclado;0;2
intriga;0;2
libros;0;2
jurado;0;2
fútbol;0;2
ámbar;0;2
láser;0;2
céliz;0;2
bíceps;0;2
líder;0;2
lápiz;0;2
vida;0;2
llave;0;2
hermana;0;2
rosa;0;2
maceta;0;2
búñker;0;2
mártir;0;2
abuelo;0;2
tobillo;0;2
moneda;0;2
fósil;0;2
móvil;0;2
póster;0;2
símil;0;2
nácar;0;2
célula;0;2
útil;0;2
néctar;0;2
ábaco;0;2
escríptico;0;2
paréntesis;0;2
académico;0;2
párroco;0;2
acústica;0;2
estadístico;0;2
película;1;2
afínico;1;2
éxtasis;1;2
penúltimo;1;2
ámbito;1;2
fábula;1;2
pícaro;1;2
América;1;2
fantástico;1;2
pívoras;1;2
ángulo;1;2
fantástico;1;2
pólvora;1;2
amigos;1;2
canto;1;2
posible;1;2
ánimo;1;2
física;1;2
psíquica;1;2
adaptador;1;2
dental;1;2
querer;1;2
química;1;2
árabe;1;2
químico;1;2
árboles;1;2
rápido;1;2
gráficas;1;2
recóndito;1;2
adjuntar;1;2
depositar;1;2
rectangular;1;2
aromático;1;2
rectángulo;1;2
adoptar;1;2
desinflar;1;2
redactar;1;2
editor;1;2
regalar;1;2
afectividad;1;2
emprendedor;1;2
regresar;1;2
atlético;1;2
relámpago;1;2
encadenar;1;2
rentar;1;2
entrar;1;2
responder;1;2
éter;1;2
revolver;1;2
escribir;1;2
rezar;1;2
brócoli;1;2
hipódromo;1;2
ridículo;1;2
cómodo;1;2
romántico;1;2
andar;1;2
rondar;1;2
cámaras;1;2
humanístico;1;2
sábado;1;2
ascender;1;2
salir;1;2
asentir;1;2
estipular;1;2
saltar;1;2
atril;1;2
explotar;1;2
saludar;1;2
arancel;1;2
salvar;1;2
humorístico;1;2
sarcástico;1;2
carátula;1;2
inequívoco;1;2
satánico;1;2
catástrofe;1;2
satélites;1;2
azul;1;2
febril;1;2
sector;1;2
gritar;1;2
sentar;1;2
borrar;1;2
gustar;1;2
sentir;1;2
general;1;2
señalar;1;2
bordar;1;2
genital;1;2
señor;1;2
célebre;1;2
lígima;1;2
sápalo;1;2
centímetro;1;2
lígula;1;2
sálaba;1;2
cerámica;1;2
lógica;1;2
simpático;1;2
bostezar;1;2
inflar;1;2
sobrío;1;2
llevar;1;2
solar;1;2
palabra;1;2
soldado;1;2
maldad;1;2
soltar;1;2
brutal;1;2
maldecir;1;2
soñar;1;2
orilla;1;2
hablar;1;2
sospecha;1;2
débil;1;2
cómico;1;2
táctil;1;2
círculo;1;2
lógico;1;2
tentáculos;1;2
clásico;1;2
mágico;1;2
término;1;2
cómicos;1;2
máquina;1;2
terrenal;1;2
mano;1;2
tiburón;1;2
compás;1;2
marcar;1;2
timón;1;2
común;1;2
tomar;1;2
marroquí;1;2
tocar;1;2
cóndor;1;2
fácil;1;2
térrax;1;2
confesar;1;2
menú;1;2
trabajar;1;2
trama;1;2
cordobés;1;2
trasladar;1;2
álmbar;1;2
bursátil;1;2
trébol;1;2
brócoli;1;2
túnel;1;2
cónyuge;1;2
milímetro;1;2
táctica;1;2
cortés;1;2
turrón;1;2
cópula;1;2
nanómetro;1;2
último;1;2
crónicas;1;2
números;1;2
utópico;1;2
danés;1;2
vaciló;1;2
déficit;1;2
obstáculo;1;2
vándalo;1;2
decido;1;2
varón;2;2
demás;2;2
verde;2;2
depósito;2;2
órgano;2;2
vértice;2;2
drástico;2;2
vértigo;2;2
ecológico;2;2
ortográfico;2;2
víbora;2;2
económico;2;2
oxígeno;2;2
vómito;2;2
diré;2;2
papá;2;2
vozarrón;2;2
paquistaní;2;2
vudú;2;2
ejército;2;2
pálido;2;2
colchón;2;2
malecón;2;2
colibrí;2;2
mamífero;2;2
confirmación;2;2
confirmar;2;2
mostrará;2;2
contará;2;2
decisión;2;2
operarán;2;2
descortés;2;2
pantalón;2;2
afinidad;2;2
encantar;2;2
amar;2;2
esconder;2;2
ayer;2;2
exportar;2;2
jugar;2;2
lápiz;2;2
cínico;2;2
universo;2;2
barco;2;2
carreta;2;2
zapatos;2;2
domingo;2;2
arco;2;2
nido;2;2
novela;2;2
mirada;2;2
