PALABRA;DIFICULTAD;TIPO;OBJETIVO
abadía;0;a;1
rocío;1;a;1
lío;1;a;1
ortografía;0;a;1
agonía;0;a;1
abogacía;0;a;1
río;1;a;1
cacatúa;2;a;1
varíe;1;a;1
albedrío;1;a;1
leía;0;a;1
gentío;1;a;1
dúo;2;a;1
marea;1;a;1
pía;2;a;1
alegría;0;a;1
boa;1;a;1
baldeo;1;a;1
toalla;0;a;1
amorío;1;a;1
estío;1;a;1
sonrío;1;a;1
frío;1;a;1
aldea;2;a;1
conocía;0;a;1
peón;2;a;1
trineo;1;a;1
hastío;0;a;1
grúa;2;a;1
etíope;2;a;1
abstraído;1;b;1
extraído;1;b;1
reúnen;2;b;1
arcaísmo;1;b;1
transeúnte;2;b;1
poeta;1;b;1
Saúl;2;b;1
cafeína;0;b;1
arcoíris;1;b;1
freír;1;b;1
baúl;1;b;1
heroína;0;b;1
oír;2;b;1
egoísta;1;b;1
rehúye;2;b;1
increíble;1;b;1
ateísmo;1;b;1
poseído;1;b;1
maulla;2;b;1
paraíso;1;b;1
extraíble;1;b;1
engreído;1;b;1
reúnen;2;b;1
vehículo;0;b;1
proteína;0;b;1
paracaídas;1;b;1
deseo;2;b;1
caída;0;b;1
ataúd;2;b;1
aúlla;2;b;1
real;0;c;1
decaer;1;c;1
héroe;2;c;1
vídeo;0;c;1
maestro;0;c;1
aeroplano;1;c;1
aéreo;2;c;1
óseo;1;c;1
contraer;1;c;1
roedor;1;c;1
oeste;1;c;1
acarrear;1;c;1
aleteo;1;c;1
etéreo;2;c;1
teatro;1;c;1
canoa;0;c;1
abuchear;1;c;1
meollo;0;c;1
caos;1;c;1
toalla;1;c;1
diurno;1;c;1
línea;2;c;1
caoba;1;c;1
coerción;1;c;1
soez;1;c;1
leemos;0;c;1
deseo;0;c;1
corroer;1;c;1
realización;1;c;1
correa;0;c;1
acreedor;1;d;1
poseer;1;d;1
alcohol;2;d;1
portaaviones;1;d;1
contraataque;1;d;1
duunviro;1;d;1
antiimperialismo;1;d;1
creer;1;d;1
cooperar;1;d;1
semiinconsciente;1;d;1
reescribir;1;d;1
antiinflamatorio;1;d;1
coordino;1;d;1
descreer;1;d;1
contraargumento;1;d;1
proveedor;1;d;1
coordenada;1;d;1
zoológico;1;d;1
microondas;1;d;1
chiíta;2;d;1
almohada;1;e;1
alcoholizado;1;e;1
ahínco;2;e;1
zanahoria;1;e;1
rehúye;1;e;1
ahorro;1;e;1
púa;2;e;1
ahogo;1;e;1
prohíbe;2;e;1
rehúyen;2;e;1
vehemente;2;e;1
bohemio;1;e;1
ahorcar;1;e;1
albahaca;2;e;1
turbohélice;1;e;1
acordeón;1;f;1
laúd;2;f;1
raíz;2;f;1
ataúd;2;f;1
leer;1;f;1
ahí;1;f;1
león;0;f;1
reír;2;f;1
baúl;1;f;1
búho;1;f;1
roer;1;f;1
caer;0;f;1
roída;2;f;1
ahondar;2;f;1
campeón;1;f;1
paseó;1;f;1
sofreír;2;f;1
creer;1;f;1
país;0;f;1
sonrió;1;f;1
freír;2;f;1
poseído;1;f;1
traer;1;f;1
abogacía;0;g;1
categoría;0;g;1
leída;2;g;1
aborrecía;0;g;1
coartada;1;g;1
leída;0;g;1
abriría;1;g;1
coercitivo;2;g;1
letanía;0;g;1
abstraída;1;g;1
cohete;1;g;1
lío;2;g;1
abuchean;1;g;1
contenía;0;g;1
loable;1;g;1
aburriría;1;g;1
correa;1;g;1
lucía;0;g;1
acarrearía;1;g;1
correrías;1;g;1
maestría;0;g;1
bujía;2;g;1
corría;0;g;1
melodía;0;g;1
aclararían;0;g;1
creída;1;g;1
meteorismo;1;g;1
actúo;2;g;1
cubría;0;g;1
musicología;0;g;1
aéreo;2;g;1
decidía;0;g;1
navío;1;g;1
afonía;0;g;1
desafía;0;g;1
oceanía;0;g;1
ahorro;1;g;1
desconfía;1;g;1
odisea;1;g;1
albedrío;1;g;1
desearía;0;g;1
ortografía;0;g;1
aldea;1;g;1
día;0;g;1
países;1;g;1
alegría;1;g;1
distraído;1;g;1
panadería;0;g;1
algarabía;1;g;1
dudarían;1;g;1
poesía;1;g;1
alías;1;g;1
día;2;g;1
policía;0;g;1
amanecía;1;g;1
educarían;0;g;1
poseen;1;g;1
amasarían;1;g;1
egoísmo;1;g;1
proeza;1;g;1
amenazarían;1;g;1
energía;0;g;1
profecía;0;g;1
amnistía;0;g;1
enfrío;1;g;1
prohíbe;2;g;1
anestesiología;0;g;1
engreído;1;g;1
psicología;0;g;1
apearse;1;g;1
envolverían;0;g;1
pía;2;g;1
apología;0;g;1
estío;1;g;1
rápido;2;g;1
apoplejía;0;g;1
etimología;0;g;1
realeza;1;g;1
armería;0;g;1
excepté;2;g;1
resistían;2;g;1
arremetía;0;g;1
favorecían;0;g;1
remolonea;1;g;1
atribuían;1;g;1
financiarían;0;g;1
rehúye;2;g;1
azalea;1;g;1
florecían;0;g;1
azuzarían;0;g;1
formarían;0;g;1
rocío;1;g;1
bacalao;1;g;1
frío;2;g;1
roído;1;g;1
bacteriología;1;g;1
fruncían;0;g;1
sandía;0;g;1
baldeo;1;g;1
galería;0;g;1
batería;1;g;1
ganzúa;2;g;1
sinfonía;0;g;1
beato;1;g;1
gentío;1;g;1
sonrió;1;g;1
biografía;0;g;1
geografía;0;g;1
sufría;0;g;1
biología;0;g;1
pasea;2;g;1
teorema;1;g;1
boato;1;g;1
gustaría;0;g;1
tetraedro;1;g;1
brujería;0;g;1
hablarían;0;g;1
tío;1;g;1
buhardilla;2;g;1
hastío;2;g;1
todavía;0;g;1
bohemio;2;g;1
heroína;1;g;1
tranvía;0;g;1
bujía;0;g;1
heroísmo;1;g;1
aorta;1;g;1
caballería;1;g;1
hexaedro;1;g;1
trío;1;g;1
cacatúa;2;g;1
hundiría;0;g;1
vacío;1;g;1
cacería;0;g;1
ilustraría;0;g;1
valía;0;g;1
caféna;2;g;1
imaginaría;0;g;1
volaría;0;g;1
cadena;2;g;1
induciría;0;g;1
zoología;0;g;1
camaradería;0;g;1
insistirían;0;g;1
venía;1;g;1
carpintería;0;g;1
irían;1;g;1
vocerío;1;g;1
mío;1;g;1
jaleo;1;g;1
ruin;2;g;1
